data;valor
02/01/2023;0.050788
03/01/2023;0.050788
04/01/2023;0.050788
05/01/2023;0.050788
06/01/2023;0.050788
09/01/2023;0.050788
10/01/2023;0.050788
11/01/2023;0.050788
12/01/2023;0.050788
13/01/2023;0.050788
16/01/2023;0.050788
17/01/2023;0.050788
18/01/2023;0.050788
19/01/2023;0.050788
20/01/2023;0.050788
23/01/2023;0.050788
24/01/2023;0.050788
25/01/2023;0.050788
26/01/2023;0.050788
27/01/2023;0.050788
30/01/2023;0.050788
31/01/2023;0.050788
01/02/2023;0.050788
02/02/2023;0.050788
03/02/2023;0.050788
06/02/2023;0.050788
07/02/2023;0.050788
08/02/2023;0.050788
09/02/2023;0.050788
10/02/2023;0.050788
13/02/2023;0.050788
14/02/2023;0.050788
15/02/2023;0.050788
16/02/2023;0.050788
17/02/2023;0.050788
22/02/2023;0.050788
23/02/2023;0.050788
24/02/2023;0.050788
27/02/2023;0.050788
28/02/2023;0.050788
01/03/2023;0.050788
02/03/2023;0.050788
03/03/2023;0.050788
06/03/2023;0.050788
07/03/2023;0.050788
08/03/2023;0.050788
09/03/2023;0.050788
10/03/2023;0.050788
13/03/2023;0.050788
14/03/2023;0.050788
15/03/2023;0.050788
16/03/2023;0.050788
17/03/2023;0.050788
20/03/2023;0.050788
21/03/2023;0.050788
22/03/2023;0.050788
23/03/2023;0.050788
24/03/2023;0.050788
27/03/2023;0.050788
28/03/2023;0.050788
29/03/2023;0.050788
30/03/2023;0.050788
31/03/2023;0.050788
03/04/2023;0.050788
04/04/2023;0.050788
05/04/2023;0.050788
06/04/2023;0.050788
10/04/2023;0.050788
11/04/2023;0.050788
12/04/2023;0.050788
13/04/2023;0.050788
14/04/2023;0.050788
17/04/2023;0.050788
18/04/2023;0.050788
19/04/2023;0.050788
20/04/2023;0.050788
24/04/2023;0.050788
25/04/2023;0.050788
26/04/2023;0.050788
27/04/2023;0.050788
28/04/2023;0.050788
02/05/2023;0.050788
03/05/2023;0.050788
04/05/2023;0.050788
05/05/2023;0.050788
08/05/2023;0.050788
09/05/2023;0.050788
10/05/2023;0.050788
11/05/2023;0.050788
12/05/2023;0.050788
15/05/2023;0.050788
16/05/2023;0.050788
17/05/2023;0.050788
18/05/2023;0.050788
19/05/2023;0.050788
22/05/2023;0.050788
23/05/2023;0.050788
24/05/2023;0.050788
25/05/2023;0.050788
26/05/2023;0.050788
29/05/2023;0.050788
30/05/2023;0.050788
31/05/2023;0.050788
01/06/2023;0.050788
02/06/2023;0.050788
05/06/2023;0.050788
06/06/2023;0.050788
07/06/2023;0.050788
09/06/2023;0.050788
12/06/2023;0.050788
13/06/2023;0.050788
14/06/2023;0.050788
15/06/2023;0.050788
16/06/2023;0.050788
19/06/2023;0.050788
20/06/2023;0.050788
21/06/2023;0.050788
22/06/2023;0.050788
23/06/2023;0.050788
26/06/2023;0.050788
27/06/2023;0.050788
28/06/2023;0.050788
29/06/2023;0.050788
30/06/2023;0.050788
03/07/2023;0.050788
04/07/2023;0.050788
05/07/2023;0.050788
06/07/2023;0.050788
07/07/2023;0.050788
10/07/2023;0.050788
11/07/2023;0.050788
12/07/2023;0.050788
13/07/2023;0.050788
14/07/2023;0.050788
17/07/2023;0.050788
18/07/2023;0.050788
19/07/2023;0.050788
20/07/2023;0.050788
21/07/2023;0.050788
24/07/2023;0.050788
25/07/2023;0.050788
26/07/2023;0.050788
27/07/2023;0.050788
28/07/2023;0.050788
31/07/2023;0.050788
01/08/2023;0.050788
02/08/2023;0.050788
03/08/2023;0.049037
04/08/2023;0.049037
07/08/2023;0.049037
08/08/2023;0.049037
09/08/2023;0.049037
10/08/2023;0.049037
11/08/2023;0.049037
14/08/2023;0.049037
15/08/2023;0.049037
16/08/2023;0.049037
17/08/2023;0.049037
18/08/2023;0.049037
21/08/2023;0.049037
22/08/2023;0.049037
23/08/2023;0.049037
24/08/2023;0.049037
25/08/2023;0.049037
28/08/2023;0.049037
29/08/2023;0.049037
30/08/2023;0.049037
31/08/2023;0.049037
01/09/2023;0.049037
04/09/2023;0.049037
05/09/2023;0.049037
06/09/2023;0.049037
08/09/2023;0.049037
11/09/2023;0.049037
12/09/2023;0.049037
13/09/2023;0.049037
14/09/2023;0.049037
15/09/2023;0.049037
18/09/2023;0.049037
19/09/2023;0.049037
20/09/2023;0.049037
21/09/2023;0.047279
22/09/2023;0.047279
25/09/2023;0.047279
26/09/2023;0.047279
27/09/2023;0.047279
28/09/2023;0.047279
29/09/2023;0.047279
02/10/2023;0.047279
03/10/2023;0.047279
04/10/2023;0.047279
05/10/2023;0.047279
06/10/2023;0.047279
09/10/2023;0.047279
10/10/2023;0.047279
11/10/2023;0.047279
13/10/2023;0.047279
16/10/2023;0.047279
17/10/2023;0.047279
18/10/2023;0.047279
19/10/2023;0.047279
20/10/2023;0.047279
23/10/2023;0.047279
24/10/2023;0.047279
25/10/2023;0.047279
26/10/2023;0.047279
27/10/2023;0.047279
30/10/2023;0.047279
31/10/2023;0.047279
01/11/2023;0.047279
03/11/2023;0.045513
06/11/2023;0.045513
07/11/2023;0.045513
08/11/2023;0.045513
09/11/2023;0.045513
10/11/2023;0.045513
13/11/2023;0.045513
14/11/2023;0.045513
16/11/2023;0.045513
17/11/2023;0.045513
20/11/2023;0.045513
21/11/2023;0.045513
22/11/2023;0.045513
23/11/2023;0.045513
24/11/2023;0.045513
27/11/2023;0.045513
28/11/2023;0.045513
29/11/2023;0.045513
30/11/2023;0.045513
01/12/2023;0.045513
04/12/2023;0.045513
05/12/2023;0.045513
06/12/2023;0.045513
07/12/2023;0.045513
08/12/2023;0.045513
11/12/2023;0.045513
12/12/2023;0.045513
13/12/2023;0.045513
14/12/2023;0.043739
15/12/2023;0.043739
18/12/2023;0.043739
19/12/2023;0.043739
20/12/2023;0.043739
21/12/2023;0.043739
22/12/2023;0.043739
26/12/2023;0.043739
27/12/2023;0.043739
28/12/2023;0.043739
29/12/2023;0.043739
